大学名称,录取人数,托福最低分,托福平均分,雅思最低分,雅思平均分,GPA最低分,GPA平均分
普林斯顿大学,18,110,115,7.5,8.0,3.9,3.98
麻省理工学院,14,110,115,7.5,8.0,3.9,3.98
哈佛大学,10,108,113,7.5,8.0,3.8,3.97
斯坦福大学,46,105,111,7.0,7.5,3.8,3.96
耶鲁大学,22,108,113,7.5,8.0,3.8,3.97
芝加哥大学,68,105,110,7.0,7.5,3.8,3.95
约翰霍普金斯大学,91,105,110,7.0,7.5,3.8,3.95
宾夕法尼亚大学,45,105,110,7.0,7.5,3.8,3.95
加州理工学院,17,110,115,7.5,8.0,3.9,3.98
杜克大学,57,105,110,7.0,7.5,3.8,3.95
西北大学,66,105,110,7.0,7.5,3.8,3.95
达特茅斯学院,22,105,110,7.0,7.5,3.8,3.95
布朗大学,35,105,110,7.0,7.5,3.8,3.95
范德堡大学,67,100,108,7.0,7.5,3.7,3.9
莱斯大学,103,100,108,7.0,7.5,3.7,3.9
圣路易斯华盛顿大学,234,100,108,7.0,7.5,3.7,3.9
康奈尔大学,152,100,108,7.0,7.5,3.7,3.9
哥伦比亚大学,31,105,110,7.0,7.5,3.8,3.95
圣母大学,18,100,108,7.0,7.5,3.7,3.9
加州大学伯克利分校,468,100,108,7.0,7.5,3.7,3.9
加州大学洛杉矶分校,304,95,105,7.0,7.5,3.5,3.85
卡内基梅隆大学,160,100,108,7.0,7.5,3.7,3.9
埃默里大学,211,100,108,7.0,7.5,3.7,3.9
乔治城大学,46,100,108,7.0,7.5,3.7,3.9
纽约大学,120,100,108,7.0,7.5,3.7,3.9
密歇根大学安娜堡分校,136,100,108,7.0,7.5,3.7,3.9
南加州大学,576,100,108,7.0,7.5,3.7,3.9
弗吉尼亚大学,168,100,108,7.0,7.5,3.7,3.9
塔夫茨大学,45,100,108,7.0,7.5,3.7,3.9
北卡罗来纳大学教堂山分校,499,100,108,7.0,7.5,3.7,3.9 